step,dev_acc,test_acc
133,0.411957411957412,0.3835616438356164
266,0.42915642915642915,0.41337630942788073
399,0.438984438984439,0.43432715551974216
532,0.45536445536445536,0.43271555197421435
665,0.44553644553644556,0.43674456083803387
798,0.4406224406224406,0.43674456083803387
931,0.44226044226044225,0.43674456083803387
1064,0.4594594594594595,0.4520547945205479
1197,0.4520884520884521,0.4536663980660757
1330,0.4643734643734644,0.4262691377921031
1463,0.47174447174447176,0.46253021756647866
1596,0.49221949221949224,0.47784045124899277
1729,0.5659295659295659,0.5261885576148267
1862,0.7428337428337428,0.7058823529411765
1995,0.7583947583947583,0.717163577759871
