step,dev_acc,test_acc
39,0.314,0.362
78,0.34,0.328
117,0.398,0.374
156,0.42,0.38
195,0.39,0.396
234,0.376,0.386
273,0.45,0.362
312,0.432,0.392
351,0.448,0.388
390,0.458,0.434
429,0.472,0.426
468,0.468,0.45
507,0.508,0.47
546,0.53,0.482
585,0.54,0.51
624,0.546,0.534
663,0.552,0.502
702,0.56,0.52
741,0.546,0.518
780,0.562,0.516
819,0.548,0.482
858,0.556,0.51
897,0.574,0.512
936,0.564,0.506
975,0.566,0.532
1014,0.584,0.526
1053,0.59,0.532
1092,0.578,0.558
1131,0.574,0.538
1170,0.59,0.556
1209,0.584,0.544
1248,0.608,0.534
1287,0.58,0.57
1326,0.588,0.552
1365,0.6,0.588
1404,0.584,0.572
1443,0.594,0.566
1482,0.59,0.564
1521,0.612,0.572
1560,0.612,0.582
1599,0.642,0.586
1638,0.606,0.578
1677,0.632,0.594
1716,0.62,0.566
1755,0.622,0.584
1794,0.622,0.57
1833,0.648,0.604
1872,0.642,0.588
1911,0.644,0.622
1950,0.628,0.59
1989,0.648,0.59
2028,0.622,0.604
2067,0.628,0.588
2106,0.624,0.602
2145,0.606,0.62
2184,0.592,0.622
2223,0.608,0.598
2262,0.634,0.618
2301,0.622,0.618
2340,0.634,0.628
2379,0.644,0.624
2418,0.634,0.638
2457,0.636,0.61
2496,0.64,0.594
2535,0.636,0.624
2574,0.656,0.634
2613,0.646,0.624
2652,0.648,0.634
2691,0.65,0.622
2730,0.648,0.636
2769,0.644,0.632
2808,0.646,0.642
2847,0.63,0.634
2886,0.642,0.654
2925,0.616,0.632
2964,0.628,0.616
3003,0.644,0.624
3042,0.626,0.636
3081,0.634,0.64
3120,0.626,0.636
3159,0.634,0.626
3198,0.632,0.65
3237,0.642,0.646
3276,0.648,0.65
3315,0.66,0.654
3354,0.636,0.64
3393,0.642,0.64
3432,0.628,0.668
3471,0.65,0.638
3510,0.636,0.662
3549,0.64,0.656
3588,0.618,0.658
3627,0.65,0.646
3666,0.644,0.638
3705,0.646,0.656
3744,0.644,0.638
3783,0.64,0.668
3822,0.646,0.662
3861,0.654,0.662
3900,0.672,0.658
